customer_id,age,income,education_years,credit_score,loan_amount,employment_length,debt_to_income,previous_defaults,marital_status,employment_type,loan_purpose,target
1,40,44341.562352865156,11,459.0,33181.16530797595,0.9247808579302947,0.1563137260569205,0,Widowed,Self-employed,Business,0
2,33,34972.48335679403,13,563.0,4463.589043263436,3.0871641334387734,0.43248699482603403,0,Married,Self-employed,Personal,1
3,42,22693.07713569102,11,608.0,179608.3130004628,1.8342595080194486,0.5290145471455535,0,Widowed,Full-time,Car,0
4,53,15939.117885728794,13,838.0,36491.64035124247,0.17896108724618343,0.2957079309282742,0,Widowed,Part-time,Education,0
5,32,31229.288168034192,8,705.0,47620.02620964084,1.9514926511490267,0.13573878703420406,1,Divorced,Full-time,Home,1
6,32,26815.696697445055,14,516.0,13499.297670397968,3.9275035411896235,0.35497304917091804,0,Divorced,Unemployed,Car,0
7,53,34461.45079419379,14,698.0,33033.81414942359,4.011601129185015,0.2407938857250696,0,Married,Part-time,Home,1
8,44,,11,495.0,28031.395544308074,2.2046240986930337,0.16539809251025284,1,Single,Part-time,Car,0
9,29,37226.50764702987,15,758.0,3892.4472283941136,2.964724535213181,0.11483867703896865,0,Single,Part-time,Education,1
10,41,16854.658968676587,16,602.0,5611.444314044406,16.83657729493674,0.2173800771986174,0,Widowed,Part-time,Home,0
11,29,42561.14525400628,9,640.0,90845.40907357626,2.368841350954555,0.41102762740355564,0,Single,Self-employed,Education,0
12,29,24313.810527339676,11,782.0,13709.998438399396,1.4935588039591536,0.2673464627945428,0,Divorced,Unemployed,Home,0
13,37,62170.160961400186,11,521.0,10843.058312969117,1.3950459150513839,0.4192881222111779,0,Married,Part-time,Car,1
14,12,15605.927530250683,11,510.0,35150.93230241747,3.0602753895849073,0.5290015389117118,1,Married,Part-time,Personal,1
15,14,52469.215311868495,16,591.0,73212.174887384,7.125594856973817,0.13015684948494285,0,Divorced,Self-employed,Personal,0
16,28,24317.593792479944,13,753.0,3197.415758048822,1.1532846823550449,0.11486396932670669,1,Married,Full-time,Business,1
17,22,15903.444471792822,13,498.0,42996.455615706676,6.1772507448843665,0.11738316342896833,1,Widowed,Full-time,Business,0
